Order ID,Order Date,Customer ID,Customer Name,Region,Category,Product Name,Quantity Sold,Sales Amount,Discount,Profit
ORD0029,21-08-2024,CUST6796,Customer 29,Ahmedabad,Home & Kitchen,Toaster,7,459.16,0.26,73.95
ORD0030,17-06-2024,CUST3688,Customer 30,Bhavnagar,Sports,Basketball,4,241.81,0.1,63.93
ORD0031,04-09-2024,CUST8266,Customer 31,Surat,Sports,Football,2,129.62,0.24,36.96
ORD0032,13-06-2024,CUST9199,Customer 32,Bhavnagar,Electronics,Laptop,4,81.43,0.05,12.47
ORD0033,19-09-2024,CUST8924,Customer 33,Bhavnagar,Home & Kitchen,Blender,3,74.64,0.17,16.16
ORD0034,22-08-2024,CUST5096,Customer 34,Mumbai,Electronics,Laptop,5,354.48,0.03,54.44
ORD0035,16-08-2024,CUST4774,Customer 35,Bhavnagar,Grocery,Fruits,8,141.54,0.18,17.74
ORD0036,26-04-2024,CUST7616,Customer 36,Mumbai,Sports,Yoga Mat,8,559.67,0.14,110.68
ORD0037,11-08-2024,CUST7040,Customer 37,Mumbai,Electronics,Smartphone,6,387.26,0.27,91.06
ORD0038,11-09-2024,CUST4269,Customer 38,Surat,Electronics,Smartphone,8,455.07,0.19,79.26
ORD0039,21-09-2024,CUST4251,Customer 39,Bhavnagar,Electronics,Laptop,6,525.32,0.03,67.12
ORD0040,30-04-2024,CUST8499,Customer 40,Bhavnagar,Grocery,Milk,1,71.07,0.13,16.7
ORD0041,07-10-2024,CUST7522,Customer 41,Bhavnagar,Electronics,Headphones,9,526.16,0.15,86.85
ORD0042,09-05-2024,CUST9270,Customer 42,Surat,Grocery,Eggs,3,255.47,0.12,33.51
ORD0043,28-06-2024,CUST2414,Customer 43,Surat,Sports,Tennis Racket,6,271.23,0.15,70.58
ORD0044,08-09-2024,CUST8987,Customer 44,Ahmedabad,Home & Kitchen,Cookware,7,167.16,0.27,31.39
ORD0045,10-06-2024,CUST5320,Customer 45,Bhavnagar,Home & Kitchen,Vacuum Cleaner,7,488.98,0.19,77.14
ORD0046,29-05-2024,CUST1138,Customer 46,Ahmedabad,Grocery,Bread,3,117.51,0.03,15.16
ORD0047,19-07-2024,CUST7061,Customer 47,Bhavnagar,Grocery,Vegetables,8,644.18,0.13,148.85
ORD0048,08-09-2024,CUST2056,Customer 48,Mumbai,Electronics,Tablet,3,102.82,0.2,23.5
ORD0049,09-09-2024,CUST7763,Customer 49,Bhavnagar,Clothing,Hat,5,241.19,0.25,47.26
ORD0050,06-06-2024,CUST4838,Customer 50,Bhavnagar,Grocery,Fruits,4,47.48,0.11,9.9
ORD0051,11-04-2024,CUST1714,Customer 51,Mumbai,Clothing,Shoes,6,259.86,0.04,60.67
ORD0052,09-08-2024,CUST3853,Customer 52,Ahmedabad,Sports,Football,2,61.03,0.09,8.05
ORD0053,04-10-2024,CUST9281,Customer 53,Ahmedabad,Grocery,Fruits,10,364.16,0.08,82.06
ORD0054,16-06-2024,CUST8182,Customer 54,Ahmedabad,Sports,Basketball,1,57.73,0.17,10.7
ORD0055,04-06-2024,CUST5823,Customer 55,Surat,Grocery,Fruits,9,569.99,0.22,90.09
ORD0056,06-05-2024,CUST6643,Customer 56,Bhavnagar,Grocery,Fruits,1,42.66,0.08,9.53
ORD0057,04-07-2024,CUST2789,Customer 57,Bhavnagar,Clothing,Shirt,8,156.57,0.2,34.68
ORD0058,22-09-2024,CUST1596,Customer 58,Mumbai,Electronics,Laptop,9,396.27,0.27,87.99
ORD0059,17-09-2024,CUST1644,Customer 59,Surat,Clothing,Jeans,1,45.57,0.1,10.48
ORD0060,30-09-2024,CUST1415,Customer 60,Ahmedabad,Home & Kitchen,Microwave,1,31.05,0.06,3.51
ORD0061,04-09-2024,CUST6666,Customer 61,Surat,Sports,Football,5,115.14,0.13,23.52
ORD0062,24-04-2024,CUST1056,Customer 62,Bhavnagar,Grocery,Bread,4,193.03,0.04,48.49
ORD0063,21-04-2024,CUST5830,Customer 63,Mumbai,Sports,Yoga Mat,2,97.94,0.13,19.07
ORD0064,04-10-2024,CUST2029,Customer 64,Ahmedabad,Home & Kitchen,Toaster,5,271.29,0.26,53.29
ORD0065,11-04-2024,CUST9373,Customer 65,Ahmedabad,Electronics,Tablet,1,72.34,0.04,21.05
ORD0066,08-05-2024,CUST8170,Customer 66,Ahmedabad,Grocery,Eggs,9,364.74,0.07,68.49
ORD0067,04-07-2024,CUST3959,Customer 67,Bhavnagar,Grocery,Eggs,7,66.07,0.15,10.43
ORD0068,06-09-2024,CUST3981,Customer 68,Bhavnagar,Grocery,Vegetables,2,183.4,0.01,44.65
ORD0069,10-07-2024,CUST6755,Customer 69,Ahmedabad,Grocery,Fruits,8,246.24,0.08,63.41
ORD0070,06-09-2024,CUST8366,Customer 70,Bhavnagar,Sports,Football,7,506.47,0.08,68.19
ORD0071,01-06-2024,CUST7227,Customer 71,Mumbai,Electronics,Camera,1,43.68,0.09,11.45
ORD0072,20-06-2024,CUST1854,Customer 72,Mumbai,Sports,Basketball,5,342.05,0.14,63.9
ORD0073,24-07-2024,CUST3791,Customer 73,Mumbai,Electronics,Headphones,8,128,0.21,32.29
ORD0074,31-05-2024,CUST3441,Customer 74,Mumbai,Electronics,Laptop,7,108.42,0.01,20.05
ORD0075,30-07-2024,CUST5241,Customer 75,Bhavnagar,Grocery,Milk,10,288.97,0.12,67.59
ORD0076,11-09-2024,CUST7138,Customer 76,Ahmedabad,Clothing,Shoes,4,271.29,0.23,35.7
ORD0077,29-04-2024,CUST4553,Customer 77,Ahmedabad,Home & Kitchen,Vacuum Cleaner,5,348,0.25,57.07
ORD0078,01-07-2024,CUST8198,Customer 78,Ahmedabad,Sports,Bicycle,6,214.43,0.13,31.06
ORD0079,31-05-2024,CUST9889,Customer 79,Bhavnagar,Grocery,Bread,2,127.53,0.25,25.05
ORD0080,24-06-2024,CUST7966,Customer 80,Mumbai,Electronics,Smartphone,6,250.7,0.22,67.93
ORD0081,10-09-2024,CUST1737,Customer 81,Mumbai,Sports,Bicycle,10,491.27,0.1,102.84
ORD0082,18-07-2024,CUST6862,Customer 82,Bhavnagar,Sports,Yoga Mat,5,367.12,0.11,63.04
ORD0083,24-09-2024,CUST4873,Customer 83,Surat,Electronics,Laptop,9,199.35,0.18,26.99
ORD0084,06-08-2024,CUST6719,Customer 84,Surat,Electronics,Laptop,7,502.83,0.06,128.58
ORD0085,14-05-2024,CUST4116,Customer 85,Mumbai,Electronics,Laptop,3,235.05,0.05,37.95
ORD0086,25-05-2024,CUST8571,Customer 86,Mumbai,Clothing,Shirt,5,51.31,0.21,6.73
ORD0087,20-06-2024,CUST5987,Customer 87,Mumbai,Sports,Yoga Mat,9,504.04,0.05,62.89
ORD0088,05-10-2024,CUST9413,Customer 88,Mumbai,Clothing,Shoes,9,611.34,0.13,116.37
ORD0089,21-07-2024,CUST6004,Customer 89,Bhavnagar,Sports,Bicycle,8,389.83,0.19,56.58
ORD0090,01-06-2024,CUST3054,Customer 90,Ahmedabad,Clothing,Hat,5,84.98,0.21,19.7
ORD0091,23-07-2024,CUST1846,Customer 91,Ahmedabad,Clothing,Jacket,4,282.84,0.04,32.06
ORD0092,16-04-2024,CUST2587,Customer 92,Bhavnagar,Electronics,Laptop,10,577.22,0.21,151.8
ORD0093,01-10-2024,CUST7026,Customer 93,Ahmedabad,Clothing,Shoes,4,38.98,0.17,9.57
ORD0094,10-09-2024,CUST5387,Customer 94,Bhavnagar,Sports,Football,9,327.32,0.09,70.6
ORD0095,29-05-2024,CUST6895,Customer 95,Ahmedabad,Sports,Yoga Mat,2,142.51,0.08,31.05
ORD0096,25-08-2024,CUST3221,Customer 96,Surat,Home & Kitchen,Cookware,3,246.76,0.02,57.23
ORD0097,01-10-2024,CUST2559,Customer 97,Surat,Electronics,Tablet,9,681.78,0.19,108.55
ORD0098,18-05-2024,CUST7183,Customer 98,Ahmedabad,Sports,Yoga Mat,10,719.54,0.18,123.07
ORD0099,05-06-2024,CUST7037,Customer 99,Mumbai,Electronics,Laptop,1,36.4,0.25,4.72
ORD0100,07-10-2024,CUST9093,Customer 100,Bhavnagar,Clothing,Shoes,3,35.94,0.16,9.78
